Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;type_obj;address;price;floor;square;publication_date;link;images
;;;;;;;;
Квартира Свободна. ТОП! Звони!;1-комн. квартира, 34 м?;Москва, ЦАО, р-н Тверской, Тверская ул., 6С1;3 590 ?/сутки;5 из 8;34 м?;сегодня, 16:15;https://www.cian.ru/rent/flat/202526815/;['https://cdn-p.cian.site/images/7/457/328/kvartira-moskva-tverskaya-ulica-823754758-4.jpg', 'https://cdn-p.cian.site/images/7/457/328/kvartira-moskva-tverskaya-ulica-823754758-4.jpg', 'https://cdn-p.cian.site/images/9/457/328/kvartira-moskva-tverskaya-ulica-823754910-2.jpg', 'https://cdn-p.cian.site/images/6/457/328/kvartira-moskva-tverskaya-ulica-823754605-2.jpg', 'https://cdn-p.cian.site/images/9/457/328/kvartira-moskva-tverskaya-ulica-823754903-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
На часы, сутки. 2 мин от метро.;1-комн. квартира, 26 м?;Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1;1 990 ?/сутки;5 из 16;26 м?;сегодня, 07:47;https://www.cian.ru/rent/flat/252255251/;['https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007262-4.jpg', 'https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007262-4.jpg', 'https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007271-2.jpg', 'https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007269-2.jpg', 'https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007272-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Элитная квартира в центре Москвы;1-комн. квартира, 63,2 м?;Москва, ЗАО, р-н Дорогомилово, Большая Дорогомиловская ул., 4;3 200 ?/сутки;10 из 14;63,2 м?;сегодня, 08:13;https://www.cian.ru/rent/flat/247145594/;['https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347240-4.jpg', 'https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347240-4.jpg', 'https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347228-2.jpg', 'https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347247-2.jpg', 'https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347249-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
Манхэттен;1-комн. квартира, 32 м?;Москва, ЦАО, р-н Тверской, Лесная ул., 63/43с2;3 000 ?/сутки;2 из 8;32 м?;сегодня, 06:30;https://www.cian.ru/rent/flat/248718142/;['https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641117-4.jpg', 'https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641117-4.jpg', 'https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641116-2.jpg', 'https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641124-2.jpg', 'https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641115-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
