title,address,rooms,square,price,floor,overall floor,contact,images
Скай Сьюты 60+ этаж Москва Сити! ,Москва  ЦАО  р-н Пресненский  1-й Красногвардейский проезд  22с1 ,1 ,60 ,13 500 ,60 ,79 ,https://www.cian.ru/rent/flat/247291694/ ,https://cdn-p.cian.site/images/04/062/001/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1002604037-4.jpg ,https://cdn-p.cian.site/images/04/062/001/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1002604033-2.jpg ,https://cdn-p.cian.site/images/04/062/001/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1002604027-2.jpg ,https://cdn-p.cian.site/images/04/062/001/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1002604038-2.jpg
Квартира Свободна. ТОП! Звони! ,Москва  ЗАО  р-н Фили-Давыдково  Малая Филевская ул.  4К1 ,1 ,35 ,3 000 ,3 ,5 ,https://www.cian.ru/rent/flat/165298567/ ,https://cdn-p.cian.site/images/0/546/328/kvartira-moskva-malaya-filevskaya-ulica-823645002-4.jpg ,https://cdn-p.cian.site/images/0/546/328/kvartira-moskva-malaya-filevskaya-ulica-823645018-2.jpg ,https://cdn-p.cian.site/images/9/446/328/kvartira-moskva-malaya-filevskaya-ulica-823644987-2.jpg ,https://cdn-p.cian.site/images/9/446/328/kvartira-moskva-malaya-filevskaya-ulica-823644999-2.jpg
5 мин пешком от метро Маяковская ,Москва  ЦАО  р-н Тверской  4-я Тверская-Ямская ул.  23 ,1 ,37 ,2 800 ,5 ,7 ,https://www.cian.ru/rent/flat/141462297/ ,https://cdn-p.cian.site/images/4/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208444-4.jpg ,https://cdn-p.cian.site/images/4/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208420-2.jpg ,https://cdn-p.cian.site/images/5/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208511-2.jpg ,https://cdn-p.cian.site/images/2/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208264-2.jpg
Топ. Сутки. Часы ,Москва  СВАО  р-н Отрадное  Алтуфьевское ш.  2 ,1 ,22 ,2 000 ,13 ,16 ,https://www.cian.ru/rent/flat/256363470/ ,https://cdn-p.cian.site/images/45/515/801/posutochnaja-kvartira-moskva-altufevskoe-shosse-1085155453-4.jpg ,https://cdn-p.cian.site/images/92/515/801/posutochnaja-kvartira-moskva-altufevskoe-shosse-1085152902-2.jpg ,https://cdn-p.cian.site/images/78/315/801/posutochnaja-kvartira-moskva-altufevskoe-shosse-1085138730-2.jpg ,https://cdn-p.cian.site/images/88/315/801/posutochnaja-kvartira-moskva-altufevskoe-shosse-1085138899-2.jpg
Панорманое джакузи на 63м этаже! ,Москва  ЦАО  р-н Пресненский  1-й Красногвардейский проезд  21с1 ,1 ,60 ,17 000 ,63 ,84 ,https://www.cian.ru/rent/flat/156763639/ ,https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563814-4.jpg ,https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563819-2.jpg ,https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563809-2.jpg ,https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563822-2.jpg
2 мин от метро. Евроремонт. Топ. ,Москва  ЦАО  р-н Таганский  Народная ул.  14С1 ,1 ,31 ,3 000 ,4 ,4 ,https://www.cian.ru/rent/flat/252811986/ ,https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-4.jpg ,https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-2.jpg ,https://cdn-p.cian.site/images/12/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051252151-2.jpg ,https://cdn-p.cian.site/images/41/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251417-2.jpg
Уютная студия. 2 мин от метро ,Москва  ЦАО  р-н Хамовники  ул. Ефремова  20 ,1 ,19 ,2 500 ,1 ,5 ,https://www.cian.ru/rent/flat/256898928/ ,https://cdn-p.cian.site/images/98/089/801/posutochnaja-kvartira-moskva-ulica-efremova-1089808974-4.jpg ,https://cdn-p.cian.site/images/98/089/801/posutochnaja-kvartira-moskva-ulica-efremova-1089808968-2.jpg ,https://cdn-p.cian.site/images/98/089/801/posutochnaja-kvartira-moskva-ulica-efremova-1089808975-2.jpg ,https://cdn-p.cian.site/images/98/089/801/posutochnaja-kvartira-moskva-ulica-efremova-1089808973-2.jpg
Лучшее предложение рядом с метро! ,Москва  ЮАО  р-н Даниловский  Автозаводская ул.  23К7 ,2 ,45 ,2 000 ,3 ,4 ,https://www.cian.ru/rent/flat/247002423/ ,https://cdn-p.cian.site/images/33/204/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1004023385-4.jpg ,https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942423-2.jpg ,https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942440-2.jpg ,https://cdn-p.cian.site/images/4/249/999/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-999942422-2.jpg
АКЦИЯ -200 рублей от стоимости* ,Москва  ЮАО  р-н Даниловский  Автозаводская ул.  23К7 ,1 ,35 ,2 200 ,4 ,4 ,https://www.cian.ru/rent/flat/253654730/ ,https://cdn-p.cian.site/images/65/718/701/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1078175625-4.jpg ,https://cdn-p.cian.site/images/65/718/701/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1078175648-2.jpg ,https://cdn-p.cian.site/images/65/718/701/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1078175655-2.jpg ,https://cdn-p.cian.site/images/98/718/701/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1078178994-2.jpg
Sky Crown. Башня Федерация ,Москва  ЦАО  р-н Пресненский  наб. Пресненская  12 ,2 ,105 ,20 000 ,49 ,62 ,https://www.cian.ru/rent/flat/29466274/ ,https://cdn-p.cian.site/images/1/022/662/kvartira-moskva-presnenskaya-naberezhnaya-266220106-4.jpg ,https://cdn-p.cian.site/images/1/022/662/kvartira-moskva-presnenskaya-naberezhnaya-266220129-2.jpg ,https://cdn-p.cian.site/images/1/022/662/kvartira-moskva-presnenskaya-naberezhnaya-266220107-2.jpg ,https://cdn-p.cian.site/images/1/022/662/kvartira-moskva-presnenskaya-naberezhnaya-266220128-2.jpg
