title,address,price,floor,overall floor,rooms,square,images
Квартира Свободна. ТОП! Звони!,Москва ЦАО р-н Тверской Тверская ул. 6С1,3 590,5,8,1,34 ,https://cdn-p.cian.site/images/7/457/328/kvartira-moskva-tverskaya-ulica-823754758-4.jpg https://cdn-p.cian.site/images/7/457/328/kvartira-moskva-tverskaya-ulica-823754758-4.jpg https://cdn-p.cian.site/images/9/457/328/kvartira-moskva-tverskaya-ulica-823754910-2.jpg https://cdn-p.cian.site/images/6/457/328/kvartira-moskva-tverskaya-ulica-823754605-2.jpg https://cdn-p.cian.site/images/9/457/328/kvartira-moskva-tverskaya-ulica-823754903-2.jpg
На часы сутки. 2 мин от метро.,Москва СВАО р-н Отрадное Алтуфьевское ш. 2К1,1 990,5,16,1,26 ,https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007262-4.jpg https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007262-4.jpg https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007271-2.jpg https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007269-2.jpg https://cdn-p.cian.site/images/27/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046007272-2.jpg
Элитная квартира в центре Москвы,Москва ЗАО р-н Дорогомилово Большая Дорогомиловская ул. 4,3 200,10,14,1,632 ,https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347240-4.jpg https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347240-4.jpg https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347228-2.jpg https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347247-2.jpg https://cdn-p.cian.site/images/27/431/001/posutochnaja-kvartira-moskva-bolshaya-dorogomilovskaya-ulica-1001347249-2.jpg
Манхэттен,Москва ЦАО р-н Тверской Лесная ул. 63/43с2,3 000,2,8,1,32 ,https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641117-4.jpg https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641117-4.jpg https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641116-2.jpg https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641124-2.jpg https://cdn-p.cian.site/images/11/464/101/posutochnaja-kvartira-moskva-lesnaya-ulica-1014641115-2.jpg
2 мин от метро. Евроремонт. Топ.,Москва ЦАО р-н Таганский Народная ул. 14С1,3 500,4,4,1,31 ,https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-4.jpg https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-4.jpg https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-2.jpg https://cdn-p.cian.site/images/12/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051252151-2.jpg https://cdn-p.cian.site/images/41/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251417-2.jpg
Квартира Свободна. ТОП! Звони!,Москва ЦАО р-н Якиманка ул. Большая Полянка 30,3 290,11,14,1,38 ,https://cdn-p.cian.site/images/5/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735530-4.jpg https://cdn-p.cian.site/images/5/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735530-4.jpg https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735479-2.jpg https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735495-2.jpg https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735445-2.jpg
Версаче Апарты в 1 мин от метро,Москва САО р-н Хорошевский Ходынский бул. 2,4 300,8,12,1,32 ,https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477951-4.jpg https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477951-4.jpg https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477954-2.jpg https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477934-2.jpg https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477929-2.jpg
Квартира Свободна. ТОП! Звони!,Москва ЦАО р-н Тверской 1-я Тверская-Ямская ул. 24,3 190,3,8,1,40 ,https://cdn-p.cian.site/images/5/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780585-4.jpg https://cdn-p.cian.site/images/5/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780585-4.jpg https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780644-2.jpg https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780615-2.jpg https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780670-2.jpg
СПА-апарт 54 в Москва Сити свидом,Москва ЦАО р-н Пресненский 1-й Красногвардейский проезд 22с2,9 500,54,79,1,32 ,https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673814-4.jpg https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673814-4.jpg https://cdn-p.cian.site/images/01/546/501/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1056451029-2.jpg https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673812-2.jpg https://cdn-p.cian.site/images/22/731/601/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1061372209-2.jpg
Квартира Свободна. ТОП! Звони!,Москва ЦАО р-н Таганский ул. Земляной Вал 52/16С1,4 390,4,7,2,80 ,https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231835-4.jpg https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231835-4.jpg https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231827-2.jpg https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231825-2.jpg https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231818-2.jpg
